filename,genre,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20
progPain_of_Salvation_-_The_Perfect_Element_I_-_02._In_the_Flesh.mp3chunk1,prog,0.5517394431349949,0.10168513655662537,2752.903025839908,3251.6445014218284,5939.447418307373,27.107313800577906,-157.0543447725618,153.46358544658005,-44.56166913559435,44.291547181780786,-4.026696320244601,36.70942959195661,-22.942288204362217,16.615094027433805,-4.831025004783361,3.016122101765366,14.144404179411875,5.243655648414157,9.717830021814178,-2.557407443000196,2.1162727950947566,0.5042595230019883,0.8772148036447353,4.966171961072746,0.9420042304110547,-2.360030072027459
progPain_of_Salvation_-_The_Perfect_Element_I_-_02._In_the_Flesh.mp3chunk2,prog,0.5680147600696409,0.14241047203540802,1656.3431081669607,2232.7858868168564,3405.837738698481,27.107313800577906,-192.22279384608785,193.33722809958928,-20.71261272736386,21.679399936948663,16.08080531100712,21.88038459606494,-4.173297963521741,10.37416426977682,-0.7970288227860134,11.560936865333995,8.666157476965859,3.5540833300763977,5.4972406483870495,0.17942192331404425,1.7501135113218633,3.5638487434843586,-0.5161451380569996,0.42220768827188665,2.9877509707341723,-4.160058113948351
progPain_of_Salvation_-_The_Perfect_Element_I_-_02._In_the_Flesh.mp3chunk3,prog,0.5662004100046341,0.15089569985866547,2293.2759782704056,3121.8699266601516,4850.97066684404,27.107313800577906,-159.370704297973,165.1569117945087,-12.91277662718545,34.13009027481795,-0.6262516720103579,33.55158477358942,-12.440712598416091,13.439269480246486,-5.5655850403162175,16.43711156587687,0.9853188323212904,8.328965699325675,3.9421823155234104,1.7258459056317517,1.6097033949819153,4.480303803559336,-0.4824269600361472,0.5175919897006414,5.282163302465578,-5.30535756945114
progPain_of_Salvation_-_The_Perfect_Element_I_-_02._In_the_Flesh.mp3chunk4,prog,0.4356056145361936,0.19902320206165314,2771.436913292194,3430.0465122622363,6123.379639427729,27.107313800577906,-106.95043233488737,148.74867628587245,-19.5625882709947,43.47791694546944,-11.256782109540318,32.967536650108066,-16.349156882455077,9.800298293462536,-11.318687270689141,14.034763829459223,2.6068103899562924,6.992689736321714,6.2040265398297505,-0.6502204350822812,-0.4103394529743642,1.1832780270985712,1.104101428673443,1.4403290843083176,4.200685837615267,-6.760205020838377
progPain_of_Salvation_-_The_Perfect_Element_I_-_02._In_the_Flesh.mp3chunk5,prog,0.46384803494855126,0.18944689631462097,2986.541517497436,3600.773958325529,6638.059860560178,27.107313800577906,-103.87476135800597,143.74432965694413,-17.208884908902313,42.680216235130516,-11.345125971087498,33.19150542623089,-17.478420263089312,10.815992791591587,-11.059092111621208,17.062522180371865,0.04396298992284281,8.894204642966859,3.9821368728033772,-0.3032908890401676,0.452133046798335,2.2193776974785777,0.09394567479339136,2.715341132204811,5.530486832827902,-6.027984715593375
progPain_of_Salvation_-_The_Perfect_Element_I_-_02._In_the_Flesh.mp3chunk6,prog,0.38046551044091154,0.23233257234096527,3039.0837318135495,3393.1995259222053,6681.234599488438,27.107313800577906,-69.20530023133294,145.1498606850476,-41.8803250282817,51.913500054559115,-22.588026960519386,32.125019918102055,-23.286677060381734,11.061059850258442,-12.4421032597768,11.02343692230348,4.592127526003017,9.09594652673227,4.657110010697648,-1.6332549488105674,5.647518174102708,-1.911955618369862,3.671409549057604,-0.945271771265069,2.9295478690444345,-6.051514995747592
progPain_of_Salvation_-_The_Perfect_Element_I_-_02._In_the_Flesh.mp3chunk7,prog,0.4740713258277213,0.1758061796426773,3116.8210575182325,3515.005011209904,6676.17629674197,27.107313800577906,-102.80402489491395,142.1079990007758,-27.469203958132876,42.75614772282716,-13.901928798447313,30.37542700594327,-16.38806478848045,14.619534982824083,-11.445680232960344,13.512695190884655,1.2927739497086135,8.449478850053877,2.3441608802418807,1.5268287715120576,1.6407376813807824,-0.17114800996011773,2.7928976388747753,1.4472629603200766,4.55071659480384,-5.421837843247823
progPain_of_Salvation_-_The_Perfect_Element_I_-_02._In_the_Flesh.mp3chunk8,prog,0.42683676367649603,0.23405978083610535,3115.388437718027,3313.4026249535764,6599.718425738923,27.107313800577906,-57.25076823078556,146.07254672461883,-49.80400810562988,48.32283912242129,-27.31841943255792,27.598801958962138,-17.352107746372536,21.113101527385822,-7.6231103671020195,9.253911875352909,3.1338184140094185,6.740657418484273,4.4995307197724275,-1.2752784206593908,2.8419862679563344,-2.9128840578466293,1.4369680339715165,0.38315447650666407,3.9888568025587805,-3.9733592497671566
progPain_of_Salvation_-_The_Perfect_Element_I_-_02._In_the_Flesh.mp3chunk9,prog,0.43516936743095846,0.2259225994348526,3823.8137667012556,3771.3629047408276,8144.0840871710525,27.107313800577906,-48.865514942911446,125.70766446909211,-44.31914164133763,58.29572833782783,-26.43577086720416,36.67883212647316,-21.961139413977772,21.22052322922062,-16.53678122064998,13.941067660254967,-4.218358328477199,10.497621880261297,0.6539164661309425,0.8002709707664207,1.3923964811174143,-0.23048061374986686,4.5898306919921055,-0.27058962939041814,6.4573269948649985,-6.06282143863474
progPain_of_Salvation_-_The_Perfect_Element_I_-_02._In_the_Flesh.mp3chunk10,prog,0.4414858194764333,0.1999562531709671,3016.6974755428737,2999.927149088823,6110.096386416409,27.107313800577906,-85.95063554824031,149.04013243871708,-62.97374274871356,51.317649214958315,-9.534310900899102,23.76692683405873,-15.059683245136881,18.369879783251886,-12.536176190109975,10.719369605413508,0.027472453960507136,5.575197179451742,2.4040370536923494,-0.1164107217898643,2.6909325473548398,0.24613840369850856,4.401902320512227,-2.9692589048021767,4.962358971286787,-6.064543273545364
progPain_of_Salvation_-_The_Perfect_Element_I_-_02._In_the_Flesh.mp3chunk11,prog,0.5036629504740299,0.1410313993692398,2810.2704794853153,2905.078670852287,5801.081588319949,27.107313800577906,-123.9793222907317,157.02626401094992,-55.70592843499753,42.27234325668432,2.4229633712897707,18.00320189324475,-16.115677231334008,12.529373227625863,-11.669889920011375,10.90379225873194,5.057877714403271,10.07265411372309,5.695547088039258,0.4006973516265523,0.42590576964105253,0.8254295033701569,4.343147819944002,0.8499617341391384,2.373155788974089,-8.589215022160527
progPain_of_Salvation_-_The_Perfect_Element_I_-_02._In_the_Flesh.mp3chunk12,prog,0.48975134817015337,0.22375251352787018,3413.062088793656,3452.411746741385,7119.473616183726,27.107313800577906,-47.473061784104175,138.0857677114584,-51.55761432233701,59.60222955807119,-21.590611913535042,32.21876303140721,-23.554274812977116,18.531371654272213,-13.772064510006087,11.707845067814265,-0.764080030513105,6.748327102561735,0.9241576824231982,-0.4289557373796385,3.062107380269114,-1.1140790780001792,3.2831342987988417,-3.3006021125247207,3.4634668040460834,-7.8463450181931025
